node_id,label
565,0
566,0
567,11
568,0
569,0
570,0
571,4
572,0
573,0
574,0
575,3
576,0
577,0
578,1
579,0
580,3
581,0
582,0
583,0
584,7
585,3
586,6
587,4
588,11
589,6
590,7
591,3
592,1
593,11
594,4
595,4
596,3
597,6
598,2
599,7
600,6
601,1
602,4
603,11
604,6
605,2
606,3
607,11
608,3
609,3
610,6
611,1
612,11
613,7
614,0
615,4
616,11
617,7
618,1
619,7
620,11
621,4
622,11
623,4
624,4
625,0
626,0
627,4
628,4
629,11
630,4
631,4
632,11
633,0
634,0
635,0
636,0
637,9
638,0
639,2
640,9
641,8
642,0
643,11
644,0
645,0
646,0
647,0
648,0
649,9
650,9
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,11
660,11
661,6
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,11
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,3
694,0
695,0
696,4
697,3
698,0
699,7
700,10
701,4
702,7
703,7
704,6
705,0
706,1
707,4
708,6
709,6
710,4
711,1
712,0
713,3
714,0
715,0
716,11
717,6
718,11
719,0
720,11
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,11
730,0
731,1
732,1
733,11
734,4
735,11
736,0
737,0
738,0
739,0
740,3
741,0
742,11
743,4
744,11
745,11
746,7
747,7
748,0
