node,node_adj,distance_m
385,390,15.166708736715538
115,144,9.37060129320362
132,547,20.149983534752334
027,037,12.056956065244007
389,393,21.38199287941409
376,391,7.570969325295546
008,011,7.136284774487305
587,589,56.77316760937754
411,415,20.21847476130173
217,670,8.7327736235363
403,409,19.897150892598678
340,355,28.534184560811273
457,473,14.941876881587119
602,603,61.87192901671724
020,435,14.845926271715186
031,036,17.95877550468834
478,481,10.197304796177757
047,433,9.715411208400097
239,676,19.20565865351837
568,569,9.829034721158965
220,230,7.146738514915576
356,375,16.962590279756444
020,448,8.091401601540834
363,367,12.423307113830601
530,542,23.885531479858432
144,718,34.40945095046004
116,175,31.173357805414557
521,530,17.805023562569605
028,034,16.488992131922487
070,714,15.785271688028967
472,511,23.50946047727541
005,011,14.188189633051715
416,427,23.856800694904127
434,638,12.827695421410201
147,152,12.212690747097897
023,445,5.069253054826823
672,675,16.563155033235205
136,560,36.17315101624877
068,071,18.211504877286625
665,667,13.478318921179369
550,556,20.85768222186277
122,142,7.773184380054252
131,522,27.73516281701832
431,433,15.940243134801317
615,616,30.389751131810762
269,739,38.26095467079499
017,443,16.73313112433458
163,176,12.810739913312647
141,716,22.945306791139217
149,152,6.091400075583513
029,471,25.289206340214665
230,250,14.498214214337295
139,154,12.727043903250093
243,674,26.724159146819133
030,465,13.442419423906648
057,060,21.033955974162566
290,293,12.530799378510675
492,494,9.2042472611934
404,407,6.250433609238846
186,190,25.49550078905959
074,098,17.948835412319802
055,654,10.43916553745068
593,698,66.86535615243626
108,658,7.8630674024206995
057,059,12.869067939265427
375,389,20.58398232848189
191,207,12.788854449029056
023,471,33.13221057382699
426,428,4.2394072381744925
089,093,11.192663335542896
146,660,17.55817414622838
658,659,19.562948860845605
642,655,12.973987139750573
240,724,26.109726598561057
382,387,19.032187122599822
275,283,17.373513746651078
346,351,13.86836502805204
498,516,19.40736449086493
357,362,14.071101673872041
444,469,28.047731145359375
292,297,18.82105815282386
262,277,21.35567804466082
478,487,28.457388967873595
511,520,14.840851912045792
618,733,61.6774042949697
391,399,5.59025771074057
696,708,44.060074177381026
483,648,19.244879633760206
042,426,16.385341467492516
025,044,14.033226802912951
610,732,98.00936742676504
550,565,27.441665900737103
259,290,13.550925644968727
472,491,26.370550744056207
598,641,130.8863593003596
736,737,13.647736291700134
264,273,21.115602229501768
387,392,13.846605931444765
447,488,38.04984111209859
620,621,51.252814924875466
701,711,52.10070912778397
215,227,11.812179988992447
024,039,10.9739063092459
096,121,20.20596983450265
495,501,18.68904062373804
181,185,6.576642179228055
574,695,15.2070627962132
459,479,19.93986316381993
347,349,13.52227023968584
628,732,59.53546905516069
243,245,12.659044076536796
245,674,14.066462872368513
664,667,23.419151077725125
631,711,71.57101346614184
649,650,73.07998098026522
034,442,12.855913825520535
055,653,21.613994934726726
572,577,14.6088370679231
508,518,10.412836054797602
571,649,97.42341007627826
024,438,26.851305703030903
084,086,10.11379936356852
454,467,20.140158199300608
612,706,96.15824737051491
140,660,18.606351448368862
211,217,23.818971135225762
319,323,25.180504611193186
422,436,7.615638523520299
391,406,10.709177587374512
298,306,6.92022102434129
186,187,7.695521831564559
617,735,75.77168211616438
705,733,37.81807877172515
619,620,66.55320800705233
388,406,29.830270289548466
020,432,13.685454557899144
709,710,50.79553751030417
632,711,48.870803014710425
127,504,13.21234797729791
338,346,19.011734058869383
566,573,17.536332068065374
456,489,21.649824672695836
043,457,20.21125268045399
340,342,10.166378924684627
459,489,24.083929629393886
156,168,12.406119781527197
228,233,14.079762431778446
595,603,61.005578746582145
593,697,107.71036744487769
263,723,9.441016749402285
275,280,9.863707338832809
245,251,29.327144490047214
035,386,32.20903214343644
509,520,11.084662613336864
158,179,30.83427345289129
145,166,19.10105350555115
420,426,15.02693021679408
225,228,16.383697720975434
704,713,91.47965957957744
399,413,10.219907437131234
218,221,16.571751627676097
507,520,18.307303799330818
016,708,83.69473728252468
553,555,15.568836087201916
738,739,7.691827011703593
552,554,19.368754560813706
636,638,25.955460822276628
551,562,16.1928338357041
341,344,15.761616478384125
025,040,12.772001127008604
498,508,8.84932761359593
073,097,17.352202235168132
011,313,57.66229911595224
282,285,7.520556964002698
102,157,21.860625207029926
049,053,32.3036225063815
052,651,21.995053526187803
137,524,17.77416201581777
045,451,15.766772035089764
125,472,17.46148175347281
088,109,20.43782004435458
384,401,14.257383837255611
060,087,20.617834157370996
574,576,4.929365117933979
404,409,13.399571672332302
023,047,9.715921884667463
058,060,15.061051825533394
475,487,16.981708418619686
584,590,92.06628905939861
001,048,21.512158185273893
540,543,8.304564357761043
656,714,16.276959679364666
222,227,15.071223148913816
228,236,29.413932209009175
303,686,14.279634175345375
605,733,133.16733602061888
446,465,13.01978333527566
150,155,15.436808437176163
128,135,16.29303213922033
110,121,12.231238888565496
025,041,12.255114531932579
173,214,28.706014474175237
641,713,102.66259636586513
251,266,31.441613691297704
063,095,18.100475942214754
262,680,10.511684386524344
344,364,11.37604879790969
313,380,68.7214622527705
686,725,5.079819485082778
173,707,40.324165315974724
559,565,20.538384362584885
184,187,18.58577551996117
446,480,22.44363702064657
595,641,123.33292359973998
499,505,19.63253474034655
665,666,21.978719449422826
622,734,48.072002271749355
493,502,7.314801032213854
152,154,6.097407341696681
100,104,10.957445031439162
312,539,68.53615066765036
323,326,34.532796062598074
285,289,7.070250309760472
021,462,25.676735258722697
510,528,22.16359691337973
106,658,15.845832687579902
053,063,23.826861495017262
497,500,7.565522426346627
372,373,8.029454445021118
556,559,22.608758297043536
611,741,124.47556004615754
117,157,10.763806124404441
378,382,15.333571027186284
570,577,22.279096520064172
033,205,14.2039739530995
146,150,12.40534760963404
178,739,74.59832356484293
194,199,27.8883056084134
592,595,71.22690357459437
356,357,4.654999517648858
519,524,11.663526718841164
477,482,17.659656428755717
467,470,14.351666915485692
417,419,12.729219823600603
147,149,6.121669961264616
383,408,14.99954285474304
558,585,140.45465739537534
127,134,20.137407505584626
544,549,27.180832769293993
005,288,22.9776303032705
607,609,99.72429455680557
349,353,13.099736297690221
342,366,11.491301869622378
519,526,19.645358987844993
342,345,18.11827089218404
083,086,19.704177374749026
439,440,10.150998525030085
050,051,13.045952022154237
102,115,19.397278324363405
115,117,11.791927424160011
578,586,62.339274972450646
402,408,7.631092692634624
492,496,14.742714830480454
418,427,12.24340868939613
236,240,16.44356661152353
019,462,14.793294687250414
022,453,10.733776577234616
156,171,17.916248009420492
608,705,90.12689750631502
102,117,11.16660918508256
293,296,15.932195868235016
021,455,70.28318453479119
033,202,11.118236644212539
514,528,28.617966775206234
132,138,21.363318509051425
082,096,8.49324704527527
040,041,4.78827524236503
634,635,13.783745054058922
688,725,12.392552822580498
127,136,16.922034987863437
148,191,26.660293196976422
493,512,16.780007498605798
029,445,13.251870309273807
203,206,15.638358919051775
062,066,11.29337557799185
493,500,17.07809745838608
054,066,17.929360361470064
125,491,10.384911349015688
605,611,99.66377451109878
237,256,16.699215578470966
605,741,134.80302576527032
463,511,29.718215943207937
014,295,22.605684063129516
247,286,29.704441044031032
381,391,14.616676507449021
622,623,36.383374509319275
344,688,27.53924367205723
029,380,80.43687030239472
397,410,12.04375398137787
121,144,12.615377129795387
524,533,10.948017616304963
004,683,6.369846614029361
535,631,61.801583723847244
148,162,29.407469128938445
452,456,8.622587974588905
015,679,20.660809805669548
114,118,7.877510037895044
202,213,18.604995656297852
706,733,54.200229636590365
027,430,22.319113932768637
232,707,64.72404648031707
063,081,17.270057807830216
543,555,16.05152564302572
361,363,17.555878410390847
226,722,18.099914357742932
600,602,42.68372221800642
219,249,19.75755580687263
540,555,22.34379818354448
506,730,25.566680105713967
456,479,13.475454286925094
068,653,12.738644101219341
523,528,7.288653109822432
593,599,88.43834028368477
281,298,56.40219410642271
526,527,29.780690989944414
557,562,31.050605276017215
381,399,14.425232963595104
388,433,25.20337177327678
453,728,9.672668304596463
326,360,29.51060270542587
482,500,18.647970988066966
447,476,52.61697937520405
259,262,9.463843627352261
390,394,12.331326204976873
414,418,15.86435471605994
190,192,11.408737682238653
469,475,18.500088144842476
116,120,7.734453893988767
209,215,13.682543182885867
486,496,8.188241165776107
096,110,8.34551593453944
208,720,43.52924173388756
270,682,18.45476269833477
097,101,14.651827525655571
389,408,16.42611597539772
545,575,89.28376745595922
073,655,20.215001714961005
481,497,22.08013761587834
124,506,29.42013449583107
381,383,15.816968269683493
525,530,10.28937793771192
107,113,9.08318316049589
653,654,11.181914812414956
531,545,25.779145643563776
128,729,27.568438703347027
640,709,98.1146529844546
064,067,12.99078023972689
114,159,9.97626788515719
582,627,57.14235998493336
423,426,10.144884092692083
213,247,29.473110496624916
225,249,16.763925838500544
529,546,40.458854438070176
526,533,14.169001989915392
706,734,58.186646442210915
043,473,32.03178136383548
143,163,20.55938424598495
391,413,15.805470416248072
594,597,50.12763589701972
510,515,8.037795986776157
234,253,15.191587396956258
359,379,16.59268878667451
469,487,15.094043439892893
028,442,10.218014919529896
112,122,18.92614523029624
093,119,21.752084594688643
479,498,16.16699198295898
482,497,11.697929498505912
325,329,4.931621615442337
137,709,97.05814967188682
150,662,13.957377724893234
317,690,16.091557631298947
621,622,43.83130053700869
178,206,66.39183321306957
334,340,31.102622374054285
311,691,10.066244773985245
215,647,13.447257668381388
160,179,32.138912409344336
597,744,30.466115672796175
616,699,71.28099833717472
046,439,8.47751149982215
209,222,19.06167130619418
080,109,13.733862347835391
334,355,11.204527884264753
361,362,4.743911305582336
346,369,15.701769457738653
308,691,15.801440665577246
643,669,25.26910941108726
116,716,36.726359724456685
549,562,25.67127165313133
233,236,15.334453460552112
297,302,24.328862360806756
033,213,7.48931312626401
032,212,32.8115044192831
301,690,17.16442374181629
007,293,7.45363332498367
392,394,6.172998537304811
004,254,73.66764357792374
490,633,21.655620556397412
281,693,75.99312107479096
438,443,19.525100202331277
702,703,54.51824185017289
336,337,11.893620176006438
532,633,26.27617229415848
627,742,76.80490943333523
481,482,11.178385044329085
578,742,63.02384726986798
568,573,16.620349170965774
352,354,7.25059306443692
130,729,28.090647810526278
006,320,21.604542714332602
632,703,109.55921125497501
257,260,18.011161909950303
356,359,9.285346954707986
238,239,9.81280134308365
357,377,15.819673780312712
170,172,29.33922157831134
162,166,9.970950663079392
580,649,52.92763704318841
026,465,16.85364675381049
023,474,26.187441315450872
257,273,15.829410149386012
564,568,23.307883859487603
296,305,16.647521165814624
019,476,38.180248759398964
514,523,28.984803387754216
521,542,16.181028624544233
519,533,15.030157996109857
618,624,55.53448422636433
214,223,7.547060630260035
561,639,100.87960402074445
167,634,12.967761827795936
