node_id,landuse_type,area_sqm,longitude,latitude
266,0,284.78108674287796,234432.43848790965,902253.3152097898
267,0,308.31619200110435,234224.7438911514,902248.1858140568
268,0,287.41886609606445,234234.70952487848,902246.4683447968
269,0,241.96197537705302,234717.8888363333,902254.5451724151
270,0,385.57799403648823,234521.72935341558,902244.6744428027
271,0,451.31146371364594,234147.08961247472,902249.057139396
272,0,530.8237187191844,234246.70360810455,902241.8844780726
273,0,199.33141154737677,234470.15998562955,902247.5087263964
274,0,182.28905005566776,234118.05421414218,902251.4548219055
275,0,381.78472186112776,234260.91105092433,902242.0086488293
276,0,128.32850622199476,234129.7545159292,902249.443293227
277,0,72.69014888163656,234182.90961146628,902252.985380667
278,0,111.71530316118151,233997.90522265655,902248.3727610232
279,0,163.4337074139621,234458.9495859906,902247.7319588962
280,0,213.83899751119316,234270.64609950938,902240.4207094372
281,1,6258.6906196644995,234768.08869955718,902216.8520665107
282,0,120.02893960662186,234005.0648738795,902247.0747510759
283,0,241.5897690919228,234278.0739501771,902239.311637679
284,0,178.39812221284956,234027.26849266817,902244.5368637573
285,0,122.5396980647929,234012.44881608983,902245.6478052173
286,0,241.08568815416947,234290.8061066213,902244.7052228717
287,0,232.43817682377994,234716.47899632572,902246.9805830438
288,0,178.07014643028378,234040.38459078537,902245.9600696063
289,0,106.50907646957785,234019.34138521217,902244.0727082881
290,0,70.60627609025687,234182.21704611217,902248.3837446762
291,0,349.6625271537341,234141.16223031815,902234.9793027781
292,0,457.8299761991948,234350.40288165896,902226.7196273801
293,0,142.59025139920413,234180.09749864886,902236.0335037225
294,0,453.782851876691,234563.2709005986,902230.8632874342
295,0,217.1365014971234,234361.47452475748,902224.7998322893
296,0,231.97055655764416,234195.18342273458,902230.910051794
297,0,240.73798506567255,234368.9743884151,902223.6648987837
298,0,233.20956015773118,234713.91057431395,902232.5344848557
299,0,469.23663750011474,234286.8079659535,902221.7136839032
300,0,463.13420717418194,234378.33031374982,902218.1026950668
301,0,468.44584307586774,234208.93920331242,902219.8169756739
302,0,377.82620548742125,234389.9775609279,902211.3864506664
303,0,329.71832485310733,234397.76901234634,902220.6982469411
304,0,587.6098151039332,234225.4150625345,902217.1980959679
305,0,90.82626879960299,234178.70474592806,902228.5450630684
306,0,192.6782358251512,234712.84322181338,902225.6970717729
307,0,119.1973132500425,234128.4471390285,902224.0965936504
308,0,143.02671092748642,234255.5725988703,902222.287082802
309,0,78.3254181155935,234177.9754483549,902223.0793487376
310,0,481.33560304896673,234269.4948431209,902209.5021192541
311,0,251.18639821000397,234238.99257559975,902212.4183369101
312,-1,2417.450197532773,233946.46872822728,902196.6229612626
313,4,8656.062370494008,234054.0847365729,902182.866846492
314,1,199.75555254146457,234711.8218007506,902219.4003780268
315,0,180.62358442414552,234452.85305257508,902213.5098032111
316,0,315.11268949415535,234462.02008367723,902209.0370499172
317,0,181.79525007680058,234176.34230837005,902214.74609861
318,0,415.3303794981912,234474.02569023476,902205.4932106929
319,0,453.2028442658484,234487.89797460483,902203.1408954313
320,0,70.63325039669871,234317.04851043428,902215.2372378152
321,0,431.5482854396105,234501.99796326965,902200.8153769552
322,4,255.23084971297067,234326.01116054406,902199.6082191431
323,0,243.52592355920933,234512.764358323,902199.1759523983
324,4,210.22457892424427,234333.55952336793,902199.0997682668
325,0,74.78045636974275,234316.0795506925,902210.4494260303
326,-1,2966.4181763679953,234541.7320173133,902180.3773158381
327,4,492.7147670730483,234344.68153254673,902196.6375438317
328,0,238.61742174820392,234356.4172266108,902195.0452955338
329,0,72.78107189573348,234315.16827972847,902205.6027284961
330,0,243.74890409363434,234364.1268152268,902193.5040811592
331,0,216.40066449623555,234283.1363103356,902198.9144671486
332,0,246.66489986609668,234313.5537043504,902194.9836491332
333,0,46.926710858009756,234450.4993437177,902199.8148153865
334,0,415.39512528292835,234136.33601228186,902190.9463837105
335,3,5216.876682288479,234625.29509207583,902164.7440193513
336,0,167.00377534143627,234370.99259975023,902188.4276153707
337,0,379.60267134802416,234382.7448625291,902186.5993592433
338,0,181.96155801136047,234454.8932236076,902191.4511858373
339,0,160.6442744806409,234394.37258835186,902184.7328851671
340,0,97.2038630307652,234167.20503309133,902187.141561401
341,0,356.7716985056177,234405.5162986851,902182.847491761
342,0,286.0121309906244,234173.5007835086,902179.1591565551
343,0,238.96139080775902,234181.7722199548,902177.7160477333
344,0,192.81866766698658,234421.12640076174,902185.0276906438
345,0,368.8471558345482,234191.35233581092,902176.0617672479
346,0,221.5807862984948,234465.80133824312,902175.880088669
347,0,363.36753797344863,234202.94829864215,902174.336795577
348,0,315.98480224004015,234474.68225484533,902174.5581700953
349,0,481.0752800744958,234216.27117237131,902172.0231776241
350,0,308.1099673220888,234485.00371195193,902172.9542134498
351,0,202.6232231464237,234453.20475051523,902181.6815993486
352,0,219.48247601091862,234493.7173111173,902171.3704046201
353,0,82.34265057556331,234228.50405002828,902176.7093055885
354,0,212.2211404433474,234500.8904751089,902170.3136084544
355,0,112.69013393949717,234139.5266285269,902180.2057406624
356,0,82.19779701367952,234232.91766965497,902175.8458361164
357,0,94.0559810702689,234237.35647593753,902174.443688016
358,0,213.04332812223583,234507.97089213616,902169.2815238413
359,0,91.6736622271128,234241.91434477974,902173.5485540769
360,0,206.51147916866466,234514.93319008677,902168.0201911192
361,0,87.3533873707056,234246.64796410588,902173.561836306
362,0,86.65295257046819,234251.33377728204,902172.8216678431
363,0,473.22378512937576,234261.8002259465,902164.6951668144
364,0,137.88124249409884,234419.32341004614,902173.795428595
365,0,464.56806173780933,234133.534479186,902167.3179212516
366,0,84.83908535912633,234164.71782438186,902171.7490521269
367,0,89.24134058877826,234273.0306794032,902170.0069908703
368,0,165.22997487778775,234280.52583118845,902168.9677703048
369,0,257.0150993540883,234451.2728537843,902169.9245279537
370,-1,4202.149203743786,233938.06550880254,902121.8768615667
371,0,414.9787187296897,234307.90415503713,902159.2691422489
