eposode,density_Residential,density_Office,density_Commercial,density_Facility,density_Greenspace,diversity,proximity_Residential,proximity_Office,proximity_Commercial,proximity_Facility,proximity_Greenspace,global_reward,prosocial
16,0.0031395624,0.00025690408,0.0005428506,0.00033676255,0.00079948356,0.7950624,7.548161e-05,1.1523785e-05,2.5079185e-06,5.8140904e-06,6.5801796e-06,0.9180085062980652,34172.63166666667
17,0.0029750299,0.00027606313,0.00036777672,0.00030642122,0.0008376915,0.80725205,6.994274e-05,9.379455e-06,2.0214234e-06,6.3576485e-06,6.201087e-06,0.9316445589065552,33853.54388888888
18,0.0030938801,0.00025615582,0.00031727148,0.00048944366,0.0006899552,0.7985561,5.9623562e-05,1.1572216e-05,1.8047141e-06,5.4044285e-06,6.257396e-06,0.9215021729469299,33910.611666666664
19,0.0029986799,0.00026632546,0.00019429433,0.00051176257,0.0008266111,0.79934645,5.838101e-05,1.1836366e-05,3.0231888e-06,4.331004e-06,6.233216e-06,0.916506826877594,32725.10722222223
20,0.0032659303,0.00027745857,0.0001604447,0.0003559542,0.0008354804,0.81187356,4.7951875e-05,1.1653085e-05,3.515341e-06,5.6209597e-06,6.264816e-06,0.933373212814331,32902.57166666666
21,0.0033648536,0.0002634082,0.0002217458,0.00033230582,0.00083616877,0.7934607,4.791354e-05,1.1876049e-05,1.6260202e-06,5.012518e-06,6.225398e-06,0.9120675325393677,33011.945
0,0.0030621423,0.00025068462,0.0002959667,0.00026890068,0.00074241206,0.8376695,7.8460005e-05,7.684774e-06,4.971387e-06,5.6894755e-06,6.3120797e-06,1.0025618076324463,30855.851666666666
1,0.0029938454,0.00025348234,0.0004554289,0.00037497588,0.0004298085,0.82939243,7.53509e-05,7.740509e-06,4.491627e-06,6.487723e-06,6.8664503e-06,0.9957312345504761,32297.946666666667
2,0.0033386487,0.00025220006,0.00036037437,0.00033085595,0.0005125747,0.8563178,6.0913968e-05,8.81895e-06,4.4245503e-06,6.676571e-06,6.440941e-06,1.0284423828125,30954.87166666667
3,0.0027627358,0.00023838045,0.00037737633,0.00036633422,0.0006156754,0.83288956,8.5978856e-05,8.768675e-06,4.9731975e-06,6.00946e-06,7.8582525e-06,0.996335506439209,30885.293888888886
4,0.0031921372,0.00025327987,0.00048764437,0.00022908299,0.0008100341,0.8517623,7.398829e-05,8.651012e-06,4.3702103e-06,6.1988185e-06,7.663975e-06,1.020993947982788,31597.453888888893
5,0.0033005471,0.00022954158,0.0005949684,0.00024760488,0.0006976753,0.86403173,6.3880856e-05,7.883462e-06,4.787241e-06,6.232509e-06,6.740131e-06,1.04049551486969,30261.851666666666
6,0.0029977185,0.00024151093,0.00032881825,0.000339606,0.0007607542,0.8579432,6.990341e-05,7.867106e-06,4.956345e-06,6.918664e-06,6.8720783e-06,1.025728464126587,30224.57722222222
7,0.0031860243,0.0002415329,0.00033408677,0.00028039934,0.00073234737,0.8454543,6.1972365e-05,7.707377e-06,4.645697e-06,6.4873807e-06,6.8717195e-06,1.014685869216919,31782.393888888884
8,0.0027918976,0.00025909438,0.00059431006,0.00029424243,0.00061991834,0.8357586,5.8211896e-05,8.8271145e-06,3.2895098e-06,6.657168e-06,6.7104966e-06,1.002097487449646,31858.80888888889
9,0.0031610501,0.00026758094,0.00034675314,0.00030945725,0.0005793374,0.85924935,4.932063e-05,8.463311e-06,4.5382444e-06,7.061335e-06,6.6400085e-06,1.0313738584518433,31386.395
0,0.0018290649,0.0002483492,0.0003161563,0.00038963638,0.00085854303,0.6719738,0.0001736596,8.460808e-06,3.4157467e-06,4.5450684e-06,6.283019e-06,0.7847949266433716,47618.50388888889
1,0.001977995,0.00024958467,0.0003883167,0.00036553523,0.0008376915,0.734143,0.00012964802,7.9717365e-06,3.9741963e-06,4.6509394e-06,6.201087e-06,0.8628748059272766,46295.233888888884
